;Required skill
1261;presentation skills
1262;negotiation skills
1263;channel partner development
1264;business english
1265;управление проектами
1266;системы безопасности
1267;ведение переговоров
1268;управление продажами
1269;маркетинговый анализ
1270;технические системы и средства безопасности
1271;системы пожарной безопасности
1272;системы видеонаблюдения
1273;управление проектами
1274;управление рисками
1275;информационные технологии
1276;разработка технических заданий
1277;управление проектами
1278;ms project
1279;ms visio
1280;проектная документация
1281;системная интеграция
1282;b2b продажи
1283;crm
1284;холодные продажи
1285;erp
1286;ms dynamics crm
1287;crm
1288;sql
1289;тестирование
1290;тестирование пользовательского интерфейса
1291;проектирование баз данных
1292;oracle
1293;pmbok
1294;pmi
1295;английский язык
1296;управление проектами
1297;монтаж оборудования
1298;настройка сетевых подключений
1299;настройка по
1300;пользователь пк
1301;сборка пк
1302;грамотная речь
1303;работа в команде
1304;навыки продаж
1305;управление продажами
1306;бизнес-анализ
1307;оптимизация бизнес-процессов
1308;бизнес-планирование
1309;планирование продаж
1310;delphi
1311;ms sql
1312;sql
1313;ms office
1314;ms outlook
1315;ms word
1316;ms excel
1317;1c: бухгалтерия
1318;agile project management
1319;git
1320;управление проектами
1321;atlassian jira
1322;английский язык
1323;коммуникабельность
1324;настройка пк
1325;настройка по
1326;настройка сетевых подключений
1327;настройка пк
1328;windows 7
1329;настройка по
1330;администрирование сетевого оборудования
1331;деловая коммуникация
1332;ведение переговоров
1333;ms powerpoint
1334;работа в команде
1335;телефонные переговоры
1336;управление проектами
1337;internet
1338;навыки продаж
1339;холодные продажи
1340;ms outlook
1341;пользователь пк
1342;организация мероприятий
1343;ориентация на результат
1344;деловая переписка
1345;b2b продажи
1346;заключение договоров
1347;bpmn
1348;idef
1349;оптимизация бизнес-процессов
1350;моделирование бизнес процессов
1351;redmine
1352;ms visio
1353;системный анализ
1354;jira
1355;trac
1356;проведение презентаций
1357;деловое общение
1358;публичные выступления
1359;подготовка презентаций
1360;грамотная речь
1361;ремонт пк
1362;настройка пк
1363;helpdesk
1364;настройка сетевых подключений
1365;windows 7
1366;автоматизация технологических процессов
1367;асу тп
1368;linux
1369;администрирование
1370;vmware
1371;информационные технологии
1372;настройка пк
1373;erp systems
1374;project management
1375;оптимизация бизнес-процессов
1376;бизнес-анализ
1377;моделирование бизнес процессов
1378;бизнес-планирование
1379;управление проектами
1380;crm
1381;1с: предприятие
1382;ms project
1383;linux
1384;docker
1385;bash
1386;debian
1387;centos
1388;postgresql
1389;python
1390;linux
1391;sql
1392;английский язык
1393;базы данных
1394;active directory
1395;информационные технологии
1396;ремонт пк
1397;сборка пк
1398;helpdesk
1399;умение работать в команде
1400;windows 7
1401;статистический анализ
1402;пользователь пк
1403;работа в команде
1404;быстрая обучаемость
1405;усидчивость
1406;администрирование серверов windows
1407;информационная безопасность
1408;настройка dns
1409;администрирование сетевого оборудования
1410;windows 7
1411;пользователь пк
1412;документооборот
1413;настройка пк
1414;настройка сетевых подключений
1415;windows 7
1416;windows xp
1417;настройка сетевых подключений
1418;настройка по
1419;ms office
1420;работа с оргтехникой
1421;техническая поддержка
1422;прокладка кабелей
1423;ремонт пк
1424;настройка пк
1425;настройка сетевых подключений
1426;настройка по
1427;сборка пк
1428;выездное обслуживание
1429;техническое обслуживание
1430;обучение и развитие
1431;деловое общение
1432;настройка пк
1433;работа в команде
1434;1с: документооборот
1435;администрирование сетевого оборудования
1436;техническая поддержка
1437;настройка сетевых подключений
1438;английский язык
1439;работа в команде
1440;обучение и развитие
1441;информационные технологии
1442;energy components
1443;jboss
1444;xml
1445;работа в команде
1446;обучаемость
1447;администрирование серверов windows
1448;настройка сетевых подключений
1449;администрирование сетевого оборудования
1450;ремонт пк
1451;active directory
1452;офисная техника
1453;коммуникабельность
1454;пунктуальность
1455;грамотная речь
1456;умение работать в команде
1457;обучаемость
1458;администрирование серверов
1459;active directory
1460;windows server 2003
1461;ms sql
1462;cisco
1463;windows server 2008 r2
1464;настройка серверов
1465;ms exchange server
1466;vmware
1467;техническая поддержка
1468;ms excel
1469;ms outlook
1470;ms word
1471;настройка пк
1472;администрирование
1473;обучаемость
1474;1с программирование
1475;ремонт пк
1476;настройка пк
1477;сборка пк
1478;настройка сетевых подключений
1479;техническое обслуживание
1480;офисная техника
1481;монтаж оборудования
1482;работа с поставщиками
1483;настройка сетевых подключений
1484;офисная техника
1485;ремонт пк
1486;настройка пк
1487;настройка по
1488;техническое обслуживание
1489;настройка по
1490;windows server 2003
1491;настройка пк
1492;сборка пк
1493;windows xp
1494;ремонт пк
1495;windows 7
1496;windows xp
1497;настройка сетевых подключений
1498;техническое обслуживание
1499;настройка по
1500;настройка пк
1501;ремонт пк
1502;навыки продаж
1503;администрирование сайтов
1504;настройка серверов
1505;настройка пк
1506;обслуживание покупателей
1507;настройка сетевых подключений
1508;настройка пк
1509;настройка по
1510;работа с оргтехникой
1511;active directory
1512;грамотная речь
1513;электронный документооборот
1514;1с: документооборот
1515;обучение и развитие
1516;информационные технологии
1517;обновление конфигурации 1с
1518;пользователь пк
1519;планирование карьеры
1520;управление проектами
1521;ms project
1522;проектный менеджмент
1523;информационные технологии
1524;ориентация на результат
1525;ремонт пк
1526;windows 7
1527;настройка сетевых подключений
1528;настройка по
