;Required skill
1335;маркетинговый анализ
1336;технические системы и средства безопасности
1337;системы пожарной безопасности
1338;системы видеонаблюдения
1339;b2b продажи
1340;активные продажи
1341;ведение переговоров
1342;управление продажами
1343;развитие продаж
1344;холодные продажи
1345;прямые продажи
1346;crm
1347;заключение договоров
1348;аналитика продаж
1349;oracle
1350;управление проектами
1351;ms project
1352;управление проектами
1353;ms project
1354;управление командой
1355;аналитические исследования
1356;системный анализ
1357;настройка сетевых подключений
1358;настройка по
1359;настройка пк
1360;ремонт пк
1361;tcp/ip
1362;сборка пк
1363;организация рабочих мест
1364;техническое обслуживание
1365;офисная техника
1366;закупка товаров и услуг
1367;организация видеоконференций
1368;windows 10
1369;dhcp
1370;dns
1371;spring framework
1372;hibernate orm
1373;java ee
1374;java servlets
1375;apache maven
1376;java core
1377;apache tomcat
1378;git
1379;postgresql
1380;sql
1381;java
1382;spring framework
1383;hibernate orm
1384;ibm lotus notes
1385;java se
1386;lotus notes
1387;rest
1388;project management
1389;английский язык
1390;teamleading
1391;управление проектами
1392;управление рисками
1393;информационные технологии
1394;разработка технических заданий
1395;1с: бухгалтерия
1396;r-keeper
1397;коммуникабельность
1398;инициативность
1399;ответственность
1400;java
1401;ms sql
1402;системный анализ
1403;базы данных
1404;аналитическое мышление
1405;субд
1406;обновление конфигурации 1с
1407;1с: бухгалтерия
1408;1c: бухгалтерия
1409;1с: предприятие 8
1410;1с программирование
1411;1с: управление торговлей
1412;ответственность
1413;коммуникабельность
1414;аккуратность
1415;настройка пк
1416;настройка по
1417;ремонт пк
1418;сборка пк
1419;настройка сетевых подключений
1420;техническая поддержка
1421;agile project management
1422;управление проектами
1423;ms project
1424;работа в команде
1425;python
1426;linux
1427;sql
1428;bash
1429;функциональное тестирование
1430;регресcионное тестирование
1431;бизнес-анализ
1432;системный анализ
1433;информационные технологии
1434;внедрение информационных систем
1435;монтаж оборудования
1436;настройка сетевых подключений
1437;настройка по
1438;пользователь пк
1439;сборка пк
1440;грамотная речь
1441;работа в команде
1442;навыки продаж
1443;согласование договоров
1444;документооборот
1445;управление интернет-проектами
1446;подготовка коммерческих предложений
1447;ведение переговоров
1448;системы видеонаблюдения
1449;настройка пк
1450;настройка сетевых подключений
